"ID","Structure of SMILES [idcode]","SMILES","DB","Total Molweight","cLogP","H-Acceptors","H-Donors","Polar Surface Area","Rotatable Bonds"
"LANaPDB7316","edZPA@@@EGJemg`\bbbdrbbJfRtTbIRbe@deagaWSSUUUUUMUULuUIaJHpnDICIyBit`@","C=C1C(=O)[C@@]23[C@@H](CC[C@@H]1[C@H]2OC(C)=O)[C@]1(C)C[C@H](OC(C)=O)[C@H](OC(C)=O)C(C)(C)[C@H]1C[C@H]3O","LANaPDB","476.564","2.7308","8","1","116.2","6"
"LANaPDB7317","edZPA@@@EGLemg`\bbbdrbbrTLRlbQRbe@dea`SWSSUUUUSUUULuUIaJHpnDICHEFit`@","C=C1C(=O)[C@@]23[C@@H](CC[C@@H]1[C@H]2O)[C@]1(C)C[C@H](OC(C)=O)[C@H](OC(C)=O)C(C)(C)[C@H]1C[C@H]3OC(C)=O","LANaPDB","476.564","2.7308","8","1","116.2","6"
"LANaPDB7318","feg@P@@IzOHhiDhliEhbibhht\yjuUUUUTmSUTQBSTLjrBT","C=C1[C@H](O)/C2=C/C[C@@H]3C(C)(C)[C@@H](OC(C)=O)CC[C@@]3(C)C(=O)CC[C@@H]1C2","LANaPDB","360.492","3.9667","4","1","63.6","2"
"LANaPDB7319","fmoAP@@J\UnQQQRYQQESISQRTEJqoUFtuUUUUTuUTKDiFKbECStC@@","C=C1C(=O)[C@@]23[C@@H](CC[C@@H]1[C@H]2OC(C)=O)[C@]1(C)[C@@H](O)CCC(C)(C)[C@H]1C[C@H]3O","LANaPDB","376.491","2.6137","5","2","83.83","2"
"LANaPDB7320","fmoAP@@J]enQQQRYQQYJFIRrTEJq`}FtuUUUTuUUTKDiFKbECPLc@@","C=C1C(=O)[C@@]23[C@@H](CC[C@@H]1[C@H]2O)[C@]1(C)[C@@H](O)CCC(C)(C)[C@H]1C[C@H]3OC(C)=O","LANaPDB","376.491","2.6137","5","2","83.83","2"
"LANaPDB7321","fc@p@@J]eh|bbbdrbbrTLRbLeARlXOYmMUUUUMUUUWLRdXnHTM@p@","C=C1C(=O)[C@@]23[C@@H](CC[C@@H]1[C@H]2O)[C@]1(CO)C(O)CCC(C)(C)[C@H]1C[C@H]3OC(C)=O","LANaPDB","392.49","1.687","6","3","104.06","3"
"LANaPDB7322","fc@p@@J\Uo\bbbdrbbJfRbTTeARl[uYmMUUUUUSUUPlRdXnHTMOPL@@","C=C1C(=O)[C@@]23[C@@H](CC[C@@H]1[C@H]2OC(C)=O)[C@]1(CO)[C@@H](O)CCC(C)(C)[C@H]1C[C@H]3O","LANaPDB","392.49","1.687","6","3","104.06","3"
"LANaPDB7323","figAP@@J]d^QQQRYQQEPjZPtEJqoEZtuUUUUUSURqJQbxaPt}@qL@@","C=C1C(=O)[C@@]23[C@@H](CC[C@@H]1[C@H]2O)[C@]1(C)[C@@H](O)CC[C@](C)(C=O)[C@H]1C[C@H]3O","LANaPDB","348.437","0.9901","5","3","94.83","1"
"LANaPDB7324","few@p@@J]fl|bbbdrbbJaTRd]ARl[qVmMUUUUUUUUKDiFKbECStCDh@","C=C1C(=O)[C@@]23[C@@H](CC[C@@H]1[C@H]2O)[C@]1(CO)[C@@H](O)CC[C@](C)(CO)[C@H]1C[C@H]3O","LANaPDB","366.452","0.2757","6","5","118.22","2"
"LANaPDB7325","ehRPN@@@EGBakolbbbdrbbrTrbVadiThDdlLBzVZZjjjjfijjZjDpeDXWBDadBbr@@","C=C1C(=O)[C@@]23[C@@H](CC[C@@H]1[C@H]2OC(C)=O)[C@]1(C)CC[C@H](OC(C)=O)C(C)(C)[C@H]1C[C@H]3OC(C)=O","LANaPDB","460.565","3.5829","7","0","95.97","6"
"LANaPDB7326","fcAP@@HKV^QQZJIRJQQKFQJVRkYZLZvjjjjjjjjZh@@","C=C1C2CC(O)C3C4(C)CCC(O)C(C)(C)C4C(OC(C)=O)CC3(C2)C1(C)O","LANaPDB","392.534","2.768","5","3","86.99","2"
"LANaPDB7327","ffc@`@@HrJZQQZQZUKJRuYtTmUUUUTuS@@@","CC(C)C1=CC2=CCC3C(C)(C(=O)O)CCCC3(C)C2CC1","LANaPDB","302.456","4.2998","2","1","37.3","2"
"LANaPDB7328","ekhPF@@@EGLfclbbbdrbbrVRRbTghDdlL|LBjfZZjjjjjZjjjDpeDXgBDadBaR@@","C=C1C(=O)[C@@]23[C@@H]4C[C@@H]5[C@@](C)(CO)CCC[C@@]5(C(OC)O4)[C@@H]2CC[C@@H]1[C@H]3OC(C)=O","LANaPDB","404.501","2.3361","6","1","82.06","4"
"LANaPDB7329","ec`PF@@@EGLfmlbbbdrbbrVRRfd]@deaga`UPsSUUUUUSUUUBXRbLSaBPrAPi@@","C=C1C(=O)[C@@]23[C@@H]4C[C@@H]5[C@@](C)(CO)CCC[C@@]5(C(O)O4)[C@@H]2CC[C@@H]1[C@H]3OC(C)=O","LANaPDB","390.474","1.9082","6","2","93.06","3"
"LANaPDB7330","feoAP@@J\f^QQQRYQQYHiIRV`iVMxpRmZZjjjjjjjjEbTcIqBahFYP@","C=C1C(=O)[C@@]23[C@@H]4C[C@@H]5[C@@](C)(CO)CCC[C@@]5(C(OC)O4)[C@@H]2CC[C@@H]1[C@H]3O","LANaPDB","362.464","1.8515","5","2","75.99","2"
"LANaPDB7331","fiwAP@@J\d^QQQRYQQYHiZPtEJqoFBVkSUUUUUUUUBqJQdxaPtCLh@","C=C1C(=O)[C@@]23[C@@H]4C[C@@H]5[C@@](C)(CO)CCC[C@@]5(C(O)O4)[C@@H]2CC[C@@H]1[C@H]3O","LANaPDB","348.437","1.4236","5","3","86.99","1"
"LANaPDB7332","ekhPF@@@DC@jclbbtTbbbbVRjRTedTt|\R\rzfZjjjjfjjjjjdHeBXWDDTd\fTZP@","C=C1[C@@H]2CC[C@H]3[C@]45CCC[C@](C)(CO)[C@H]4C[C@H](OC5OC)[C@@]3([C@@H]1O)[C@@H]2OC(C)=O","LANaPDB","406.517","2.1924","6","2","85.22","4"
"LANaPDB7333","ec`PF@@@DC@jmlbbtTbbbbVRjVdLbfgcbSfWPsUUUUTuUUUURDRaLKbBJRNSJMH@","C=C1[C@@H]2CC[C@H]3[C@]45CCC[C@](C)(CO)[C@H]4C[C@H](OC5O)[C@@]3([C@@H]1O)[C@@H]2OC(C)=O","LANaPDB","392.49","1.7645","6","3","96.22","3"
"LANaPDB7334","fag@P@@XmwIEHmHdeDdmiFscEN}yLRuUUUUUMUUPhHdXnHRUOHJ@@","C=C1[C@@H]2CC[C@H]3[C@]45CCC[C@](C)(CO)[C@H]4C[C@](O)(OC5)[C@]3(C2)[C@@H]1O","LANaPDB","334.454","2.0716","4","3","69.92","1"
"LANaPDB7335","eolPA@@@IEOHbmklbbdTTbfRtVQQdNTXxLBLRl\zFZjjjjjjjjfjiQBXHaTKbZPrNIJMP@","COC[C@@H]1C(=O)[C@]23C[C@H]1[C@@H](O)C[C@H]2[C@]12CCC[C@@](C)(COC(C)=O)[C@H]1[C@H](O)[C@]3(O)OC2","LANaPDB","438.515","0.5231","8","3","122.52","5"
"LANaPDB7336","fc@p@@J]xn|bbbdrbbRRebUdMARlZOQmMUUUUSUUUTlRdXnHTdcRLZ`@","C=C1C(=O)[C@@]23[C@@H](C[C@H](O)[C@@H]1[C@H]2O)[C@]1(C)CCC[C@](C)(CO)[C@H]1C[C@H]3OC(C)=O","LANaPDB","392.49","1.687","6","3","104.06","3"
"LANaPDB7337","fc@p@@J]yn|bbbdrbbVTvVbd]ARlXMQmMUUUUUMUUTlRdXnHTdcPLJ`@","C=C1C(=O)[C@@]23[C@@H](C[C@H](O)[C@@H]1[C@H]2OC(C)=O)[C@]1(C)CCC[C@](C)(CO)[C@H]1C[C@H]3O","LANaPDB","392.49","1.687","6","3","104.06","3"
"LANaPDB7338","eodPN@@@EGOBmklbbbdrbbRRebUdNThDdlLbzFZZjjjjfjjfjiLIQFEpaIHcIEFd@@","C=C1C(=O)[C@@]23[C@@H](C[C@H](O)[C@@H]1[C@H]2O)[C@]1(C)CCC[C@](C)(COC(C)=O)[C@H]1C[C@H]3OC(C)=O","LANaPDB","434.527","2.1716","7","2","110.13","5"
"LANaPDB7339","fa{@P@@J]wHhhiLhilhUiCPTkF}dkSUUUUUUUPlRdXnJRMOQJ@@","C=C1C(=O)[C@]23C[C@H]1[C@@H](O)C[C@H]2[C@]1(C)CCC[C@](C)(CO)[C@H]1C[C@H]3O","LANaPDB","334.454","2.0545","4","3","77.76","1"
"LANaPDB7340","figAP@@JMt^QQRIQQQJKFQX|Ejuhy[UUUUUSUUUJaDPbhfKdEKIrc@@","C=C1[C@@H]2[C@@H](O)C[C@H]3[C@]4(C)CCC[C@](C)(CO)[C@H]4C[C@@H](O)[C@@]3([C@@H]1O)[C@@H]2O","LANaPDB","352.469","1.0587","5","5","101.15","1"
"LANaPDB7341","few@p@@F]{L|bbbdrbbRdSQduARuXMVmMUUUUUUUTkBiFKbEIITt`il@@","C=C1C(=O)[C@@]23[C@@H]([C@@H](O)[C@H](O)[C@@H]1[C@H]2O)[C@]1(C)CC[C@@H](O)C(C)(C)[C@H]1C[C@H]3O","LANaPDB","366.452","0.4249","6","5","118.22","0"
"LANaPDB7342","few@p@@J]x\|bbbdrbbVTjtfUARlXIZmMUUUUUUUTkDiFKbEIHtCLjl@@","C=C1C(=O)[C@@]23[C@@H](C[C@H](O)[C@@H]1[C@H]2O)[C@]1(C)CC[C@@H](O)[C@](C)(CO)[C@H]1C[C@H]3O","LANaPDB","366.452","0.3503","6","5","118.22","1"
"LANaPDB7343","fnkA`@@JsdTTbTQbtLRbOAV\fiZmUUUUUUMUqDHaST\`jl@@","C=C1[C@@H]2CC[C@H]3[C@]4(C)CCC(=O)[C@](C)(CO)[C@H]4CC[C@]3(C2)[C@@H]1O","LANaPDB","318.455","2.9066","3","2","57.53","1"
"LANaPDB7344","fa{@P@@V[wHhhiLhliJmIePTmF\gKSUUUUUUUPlJdXiIT\hkL@@","C=C1C(=O)[C@@]23CC[C@@H]4[C@@](C)(CO)[C@H](O)CC[C@@]4(C)[C@@H]2C[C@H](O)[C@@H]1C3","LANaPDB","334.454","2.0545","4","3","77.76","1"
"LANaPDB7345","fmoAP@@Hmy^QQZJQJJJIQXrKJtxHRmfuUUUUUSUUUHdiNHRdeSTBbp@","C=C1[C@@H]2[C@@H](O)C[C@H]3[C@]4(C)CCCC(C)(C)[C@H]4C[C@@H](OC(C)=O)[C@@]3([C@@H]1O)[C@@H]2O","LANaPDB","378.507","2.47","5","3","86.99","2"
"LANaPDB7346","fa{@P@@FbgHhhiLheiEdkISdmV\VkSUUUUUUUPlRdXnQTtkQr@@","C=C1C(=O)[C@@]23C[C@H](O)[C@@H]4C(C)(C)CCC[C@@]4(C)[C@@H]2[C@@H](O)C[C@@H]1[C@H]3O","LANaPDB","334.454","2.1291","4","3","77.76","0"
"LANaPDB7347","fa{@P@@QsWHhheHiEDgEEBsb`iJUkUUUUTuTuWDPbYNQr}Bh@","C=C1C(=O)[C@@]23CC(=O)[C@@H]4C(C)(C)CCC[C@@]4(C)[C@@H]2[C@@H](O)C[C@@H]1[C@H]3O","LANaPDB","332.438","2.2728","4","2","74.6","0"
"LANaPDB7348","fa{@P@@F]wHhhiLhdeHuiMSdmV}fkSUUUUUTuPlRdXnRRUOIL@@","C=C1C(=O)[C@@]23CC[C@@H]4[C@@](C)(C=O)CCC[C@@]4(C)[C@@H]2C[C@H](O)[C@@H]1[C@H]3O","LANaPDB","332.438","1.8422","4","2","74.6","1"
"LANaPDB7349","fnkA`@@Z[dTTRbVRdrQdKIBeXJ\uUMUUUUUTJBQFHRdeRrb`@","C=C1[C@@H](O)[C@@]23CC[C@@H]4[C@@](C)(CO)CCC[C@@]4(C)[C@@H]2C[C@H](O)[C@@H]1C3","LANaPDB","320.471","2.7629","3","3","60.69","1"
"LANaPDB7350","fa{@P@@JMwHhiDhhheEcHgpVkVcekUUUUUMUUPdPbhfKdEKIr@@","C=C1[C@@H]2CC[C@H]3[C@]4(C)CCC[C@](C)(CO)[C@H]4CC(=O)[C@@]3([C@@H]1O)[C@@H]2O","LANaPDB","334.454","2.0545","4","3","77.76","1"
"LANaPDB7351","few@p@@J]zl|bbbdrbbVTjRdmARlXIVmMUUUUUUUUKDiFKbEIHtCLh@","C=C1C(=O)[C@@]23[C@@H](C[C@H](O)[C@@H]1[C@H]2O)[C@]1(CO)CCC[C@](C)(CO)[C@H]1C[C@H]3O","LANaPDB","366.452","0.2757","6","5","118.22","2"
"LANaPDB7352","figAP@@J]d^QQQRYQQEPiJRtEJqoEjtuUUUTuUUBqJQbxaPr}Dh@","C=C1C(=O)[C@@]23[C@@H](CC[C@@H]1[C@H]2O)[C@]1(C=O)CCC[C@](C)(CO)[C@H]1C[C@H]3O","LANaPDB","348.437","0.9155","5","3","94.83","2"
